sid,score_year,score_band
34818,2013,middle
34902,2013,middle
34954,2013,middle
34958,2013,middle
35601,2013,middle
35879,2013,middle
35883,2013,middle
35884,2013,middle
36149,2013,middle
30862,2013,middle
30922,2013,middle
30990,2013,middle
31030,2013,middle
31034,2013,middle
31067,2013,middle
31069,2013,middle
31070,2013,middle
31093,2013,middle
31123,2013,middle
31135,2013,middle
31145,2013,middle
31197,2013,middle
31306,2013,middle
31331,2013,middle
33013,2013,middle
31347,2013,middle
31351,2013,middle
31366,2013,middle
31403,2013,middle
31404,2013,middle
31434,2013,middle
31477,2013,middle
31486,2013,middle
28959,2013,middle
29346,2013,middle
29845,2013,middle
30378,2013,middle
30383,2013,middle
30549,2013,middle
30554,2013,middle
30587,2013,middle
30995,2013,middle
31402,2013,middle
31408,2013,middle
31669,2013,middle
31550,2013,middle
31789,2013,middle
31721,2013,middle
31790,2013,middle
31988,2013,middle
31737,2013,middle
31788,2013,middle
32133,2013,middle
31838,2013,middle
32144,2013,middle
31930,2013,middle
32012,2013,middle
32049,2013,middle
32052,2013,middle
32232,2013,middle
32291,2013,middle
32320,2013,middle
32373,2013,middle
32710,2013,middle
33022,2013,middle
33093,2013,middle
33094,2013,middle
33152,2013,middle
34586,2013,middle
33166,2013,middle
33162,2013,middle
34589,2013,middle
33169,2013,middle
33215,2013,middle
33188,2013,middle
33765,2013,middle
34804,2013,middle
33216,2013,middle
34895,2013,middle
33881,2013,middle
34969,2013,middle
33221,2013,middle
34008,2013,middle
35068,2013,middle
34048,2013,middle
33230,2013,middle
35139,2013,middle
35162,2013,middle
35165,2013,middle
33246,2013,middle
35200,2013,middle
35391,2013,middle
35872,2013,middle
35880,2013,middle
35885,2013,middle
35886,2013,middle
36362,2013,middle
37199,2013,middle
38083,2013,middle
33557,2013,middle
33561,2013,middle
33567,2013,middle
33578,2013,middle
33646,2013,middle
33647,2013,middle
33760,2013,middle
33793,2013,middle
33921,2013,middle
33999,2013,middle
34036,2013,middle
34205,2013,middle
34214,2013,middle
34222,2013,middle
34308,2013,middle
34313,2013,middle
34392,2013,middle
34393,2013,middle
34394,2013,middle
34410,2013,middle
34421,2013,middle
34430,2013,middle
34461,2013,middle
34462,2013,middle
34547,2013,middle
34551,2013,middle
34561,2013,middle
34579,2013,middle
34671,2013,middle
34763,2013,middle
35163,2013,middle
35510,2013,middle
35892,2013,middle
35900,2013,middle
36016,2013,middle
32066,2013,middle
32100,2013,middle
32136,2013,middle
32203,2013,middle
32401,2013,middle
32735,2013,middle
32945,2013,middle
33030,2013,middle
33164,2013,middle
34534,2013,middle
34550,2013,middle
34890,2013,middle
29240,2013,middle
29340,2013,middle
30141,2013,middle
31141,2013,middle
32069,2013,middle
32321,2013,middle
33177,2013,middle
33219,2013,middle
33220,2013,middle
33222,2013,middle
33223,2013,middle
33257,2013,middle
33640,2013,middle
33877,2013,middle
33879,2013,middle
33918,2013,middle
34185,2013,middle
34208,2013,middle
34376,2013,middle
34383,2013,middle
34466,2013,middle
33554,2013,middle
34553,2013,middle
35583,2013,middle
35871,2013,middle
38072,2013,middle
34467,2013,middle
34582,2013,middle
34583,2013,middle
34655,2013,middle
34657,2013,middle
34739,2013,middle
34795,2013,middle
34889,2013,middle
34965,2013,middle
31548,2013,middle
34999,2013,middle
35207,2013,middle
35574,2013,middle
35801,2013,middle
35882,2013,middle
35890,2013,middle
35894,2013,middle
36365,2013,middle
38068,2013,middle
38468,2013,middle
28892,2013,middle
30764,2013,middle
28576,2013,concert
28578,2013,concert
28579,2013,concert
28580,2013,concert
28614,2013,concert
28615,2013,concert
28628,2013,concert
28643,2013,concert
28644,2013,concert
28646,2013,concert
28647,2013,concert
28648,2013,concert
28663,2013,concert
28667,2013,concert
28671,2013,concert
28682,2013,concert
28684,2013,concert
28686,2013,concert
28687,2013,concert
28689,2013,concert
28691,2013,concert
28692,2013,concert
28693,2013,concert
28697,2013,concert
28699,2013,concert
28723,2013,concert
28725,2013,concert
28727,2013,concert
28729,2013,concert
28732,2013,concert
