sid,audio_file,audio_year,audio_band
29874,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29874/29874.mp3,2013,middle
29881,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29881/29881.mp3,2013,middle
29882,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29882/29882.mp3,2013,middle
29887,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29887/29887.mp3,2013,middle
29888,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29888/29888.mp3,2013,middle
29889,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29889/29889.mp3,2013,middle
29890,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29890/29890.mp3,2013,middle
29905,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29905/29905.mp3,2013,middle
29916,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29916/29916.mp3,2013,middle
29918,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29918/29918.mp3,2013,middle
29919,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29919/29919.mp3,2013,middle
29920,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29920/29920.mp3,2013,middle
29921,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29921/29921.mp3,2013,middle
29922,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/29922/29922.mp3,2013,middle
30027,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30027/30027.mp3,2013,middle
30028,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30028/30028.mp3,2013,middle
30029,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30029/30029.mp3,2013,middle
30031,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30031/30031.mp3,2013,middle
30032,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30032/30032.mp3,2013,middle
30100,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30100/30100.mp3,2013,middle
30102,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30102/30102.mp3,2013,middle
30103,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30103/30103.mp3,2013,middle
30104,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30104/30104.mp3,2013,middle
30117,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30117/30117.mp3,2013,middle
30118,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30118/30118.mp3,2013,middle
30119,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30119/30119.mp3,2013,middle
30133,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30133/30133.mp3,2013,middle
30134,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30134/30134.mp3,2013,middle
30139,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30139/30139.mp3,2013,middle
30140,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30140/30140.mp3,2013,middle
30141,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30141/30141.mp3,2013,middle
30142,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30142/30142.mp3,2013,middle
30143,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30143/30143.mp3,2013,middle
30170,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30170/30170.mp3,2013,middle
30171,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30171/30171.mp3,2013,middle
30172,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30172/30172.mp3,2013,middle
30173,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30173/30173.mp3,2013,middle
30175,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30175/30175.mp3,2013,middle
30176,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30176/30176.mp3,2013,middle
30177,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30177/30177.mp3,2013,middle
30178,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30178/30178.mp3,2013,middle
30190,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30190/30190.mp3,2013,middle
30191,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30191/30191.mp3,2013,middle
30194,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30194/30194.mp3,2013,middle
30195,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30195/30195.mp3,2013,middle
30196,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30196/30196.mp3,2013,middle
30197,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30197/30197.mp3,2013,middle
30198,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30198/30198.mp3,2013,middle
30200,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30200/30200.mp3,2013,middle
30202,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30202/30202.mp3,2013,middle
30237,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30237/30237.mp3,2013,middle
30238,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30238/30238.mp3,2013,middle
30245,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30245/30245.mp3,2013,middle
30248,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30248/30248.mp3,2013,middle
30249,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30249/30249.mp3,2013,middle
30250,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30250/30250.mp3,2013,middle
30252,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30252/30252.mp3,2013,middle
30253,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30253/30253.mp3,2013,middle
30254,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30254/30254.mp3,2013,middle
30256,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30256/30256.mp3,2013,middle
30258,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30258/30258.mp3,2013,middle
30261,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30261/30261.mp3,2013,middle
30262,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30262/30262.mp3,2013,middle
30263,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30263/30263.mp3,2013,middle
30266,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30266/30266.mp3,2013,middle
30267,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30267/30267.mp3,2013,middle
30268,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30268/30268.mp3,2013,middle
30269,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30269/30269.mp3,2013,middle
30270,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30270/30270.mp3,2013,middle
30271,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30271/30271.mp3,2013,middle
30274,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/30274/30274.mp3,2013,middle
