sid,score_year,score_band,audio_file,audio_year,audio_band,segmentation_year,segmentation_band
87631,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87631.mp3,2018.0,symphonic,2018.0,symphonic
87632,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87632.mp3,2018.0,concert,2018.0,concert
87633,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87633.mp3,2018.0,concert,,
87634,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87634.mp3,2018.0,symphonic,2018.0,symphonic
87636,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87636.mp3,2018.0,symphonic,2018.0,symphonic
87637,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87637.mp3,2018.0,symphonic,2018.0,symphonic
87639,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87639.mp3,2018.0,symphonic,,
87640,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87640.mp3,2018.0,symphonic,2018.0,symphonic
87641,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87641.mp3,2018.0,symphonic,2018.0,symphonic
87643,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87643.mp3,2018.0,concert,,
87644,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87644.mp3,2018.0,symphonic,2018.0,symphonic
87645,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87645.mp3,2018.0,symphonic,2018.0,symphonic
87646,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87646.mp3,2018.0,symphonic,2018.0,symphonic
87647,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87647.mp3,2018.0,symphonic,,
87648,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87648.mp3,2018.0,symphonic,,
87649,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87649.mp3,2018.0,symphonic,,
87650,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87650.mp3,2018.0,symphonic,,
87651,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87651.mp3,2018.0,concert,,
87652,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87652.mp3,2018.0,symphonic,,
87653,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87653.mp3,2018.0,concert,,
87660,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87660.mp3,2018.0,concert,2018.0,concert
87661,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/87661.mp3,2018.0,middle,,
87663,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/87663.mp3,2018.0,middle,,
87664,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/87664.mp3,2018.0,middle,,
87666,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/87666.mp3,2018.0,middle,,
